Store,Brand,Description,Week,SalesQuantity,TotalSalesPrice,PurchaseQuantity,TotalPurchasePrice,BegInv,EndInv,COGS,InventoryValue,InventoryTurnover,DOI
1,62,Herradura Silver Tequila,1,4,167.96,0,0,22,30,114.68,860.1,4.410769231,11.78932682
1,62,Herradura Silver Tequila,2,3,125.97,0,0,10,7,86.01,200.69,10.11882353,5.138937333
1,62,Herradura Silver Tequila,3,4,167.96,24,688.08,38,58,114.68,1662.86,2.389166667,21.76491106
1,62,Herradura Silver Tequila,4,3,125.97,0,0,17,14,86.01,401.38,5.549032258,9.371003372
1,62,Herradura Silver Tequila,5,1,36.99,0,0,14,13,28.67,372.71,2.123703704,24.48552494
1,62,Herradura Silver Tequila,6,2,73.98,0,0,13,11,57.34,315.37,4.778333333,10.88245553
1,62,Herradura Silver Tequila,7,8,295.92,24,688.08,60,68,229.36,1949.56,3.58375,14.5099407
1,62,Herradura Silver Tequila,8,20,739.8,16,458.72,66,70,573.4,2006.9,8.432352941,6.166724799
1,62,Herradura Silver Tequila,9,8,295.92,188,5389.96,158,338,229.36,9690.46,0.92483871,56.22602023
1,273,Sauza Extra Gold Tequila,1,45,1016.55,54,934.74,447,540,778.95,9347.4,1.578419453,32.94434816
1,273,Sauza Extra Gold Tequila,2,3,68.97,0,0,60,87,51.93,1505.97,0.706530612,73.59907568
1,273,Sauza Extra Gold Tequila,3,3,68.97,0,0,87,84,51.93,1454.04,0.607368421,85.6152513
1,273,Sauza Extra Gold Tequila,4,6,137.94,0,0,84,78,103.86,1350.18,1.282222222,40.55459272
1,273,Sauza Extra Gold Tequila,5,16,375.84,24,415.44,320,324,276.96,5608.44,0.860124224,60.45638359
1,273,Sauza Extra Gold Tequila,6,24,599.76,20,346.2,322,322,415.44,5573.82,1.290186335,40.30425573
1,273,Sauza Extra Gold Tequila,7,3,74.97,0,0,80,77,51.93,1332.87,0.661528662,78.60581552
1,273,Sauza Extra Gold Tequila,8,4,99.96,32,553.92,336,350,69.24,6058.5,0.201865889,257.5967649
1,273,Sauza Extra Gold Tequila,9,3,74.97,74,1280.94,84,165,51.93,2856.15,0.104277108,498.6712883
1,415,Jose Cuervo Especial,1,54,1133.46,108,1408.32,477,594,704.16,7745.76,1.314957983,39.54498978
1,415,Jose Cuervo Especial,2,4,83.96,0,0,66,95,52.16,1238.8,0.647950311,80.25306748
1,415,Jose Cuervo Especial,3,32,671.68,40,521.6,384,392,417.28,5111.68,1.075463918,48.35122699
1,415,Jose Cuervo Especial,4,20,419.8,48,625.92,424,438,260.8,5711.52,0.605104408,85.93558282
1,415,Jose Cuervo Especial,5,4,83.96,0,0,106,109,52.16,1421.36,0.485209302,107.1702454
1,415,Jose Cuervo Especial,6,8,167.92,0,0,109,101,104.32,1317.04,0.99352381,52.33895706
1,415,Jose Cuervo Especial,7,8,167.92,48,625.92,444,464,104.32,6050.56,0.229779736,226.303681
1,415,Jose Cuervo Especial,8,32,671.68,44,573.76,476,502,417.28,6546.08,0.853333333,60.9375
1,415,Jose Cuervo Especial,9,12,251.88,500,6520,746,1240,156.48,16169.6,0.157583082,329.9846626
1,482,Absolut 80 Proof,1,63,1313.37,306,4369.68,324,486,899.64,6940.08,2.221333333,23.40936375
1,482,Absolut 80 Proof,2,11,241.89,0,0,54,70,157.08,999.6,2.533548387,20.52457347
1,482,Absolut 80 Proof,3,52,1143.48,72,1028.16,290,310,742.56,4426.8,2.4752,21.00840336
1,482,Absolut 80 Proof,4,28,615.72,72,1028.16,364,386,399.84,5512.08,1.06624,48.7695078
1,482,Absolut 80 Proof,5,6,131.94,0,0,91,96,85.68,1370.88,0.916363636,56.74603175
1,482,Absolut 80 Proof,6,52,1143.48,48,685.44,380,378,742.56,5397.84,1.959261214,26.54061625
1,482,Absolut 80 Proof,7,20,439.8,36,514.08,386,400,285.6,5712,0.726717557,71.55462185
1,482,Absolut 80 Proof,8,24,527.76,36,514.08,414,426,342.72,6083.28,0.816,63.7254902
1,482,Absolut 80 Proof,9,12,263.88,628,8967.84,740,1356,171.36,19363.68,0.16351145,318.0205415
1,497,Capt Morgan Spiced Rum,1,18,359.82,216,3175.2,390,684,264.6,10054.8,0.49273743,105.5328798
1,497,Capt Morgan Spiced Rum,2,88,1759.12,92,1352.4,458,462,1293.6,6791.4,2.812173913,18.49103278
1,497,Capt Morgan Spiced Rum,3,3,59.97,0,0,116,113,44.1,1661.1,0.385152838,135.0113379
1,497,Capt Morgan Spiced Rum,4,20,399.8,48,705.6,466,494,294,7261.8,0.6125,84.89795918
1,497,Capt Morgan Spiced Rum,5,40,799.6,36,529.2,506,502,588,7379.4,1.166666667,44.57142857
1,497,Capt Morgan Spiced Rum,6,5,99.95,0,0,125,120,73.5,1764,0.6,86.66666667
1,497,Capt Morgan Spiced Rum,7,24,479.76,48,705.6,492,516,352.8,7585.2,0.7,74.28571429
1,497,Capt Morgan Spiced Rum,8,2,39.98,0,0,132,130,29.4,1911,0.224427481,231.7006803
1,497,Capt Morgan Spiced Rum,9,20,399.8,600,8820,810,1390,294,20433,0.267272727,194.5578231
1,523,Castello Del Poggio Moscato,1,9,94.41,108,765.72,237,270,63.81,1914.3,0.251715976,206.5820404
1,523,Castello Del Poggio Moscato,2,2,20.98,0,0,15,43,14.18,304.87,0.488965517,106.3469676
1,523,Castello Del Poggio Moscato,3,1,10.49,0,0,43,42,7.09,297.78,0.166823529,311.7066291
1,523,Castello Del Poggio Moscato,4,20,209.8,44,311.96,192,204,141.8,1446.36,0.716161616,72.60930889
1,523,Castello Del Poggio Moscato,5,2,20.48,0,0,48,52,14.18,368.68,0.2836,183.3568406
1,523,Castello Del Poggio Moscato,6,1,9.99,0,0,52,51,7.09,361.59,0.137669903,377.7150917
